Date,Day,Month,Quarter,Year,Open,High,Low,Close,Adj Close,Volume
7/14/2022,Thursday,July,Q3,2022,70.400002,71,70.199997,70.75,66.326553,8917897
7/13/2022,Wednesday,July,Q3,2022,70.650002,70.949997,70.25,70.400002,65.998436,13704386
07-12-2022,Tuesday,July,Q3,2022,72.449997,72.5,70.400002,70.650002,66.232803,16729806
07-11-2022,Monday,July,Q3,2022,72.699997,72.849998,72.050003,72.550003,68.014015,11548617
07-08-2022,Friday,July,Q3,2022,73,73.25,72.199997,72.699997,68.154633,11692575
07-07-2022,Thursday,July,Q3,2022,73.300003,73.300003,72.150002,72.699997,68.154633,17846046
07-06-2022,Wednesday,July,Q3,2022,74,74.599998,72.25,72.599998,68.06089,21856830
07-05-2022,Tuesday,July,Q3,2022,74.5,74.5,73.400002,73.599998,68.998367,17464685
07-04-2022,Monday,July,Q3,2022,74.699997,74.699997,73.300003,74.349998,69.701469,12798384
07-01-2022,Friday,July,Q3,2022,75,75.150002,72.849998,74.550003,69.888969,22029311
6/30/2022,Thursday,June,Q2,2022,73.949997,76,73.699997,74.25,69.607727,34424950
6/29/2022,Wednesday,June,Q2,2022,72.400002,73.366669,72,73.199997,68.623367,18903900
6/28/2022,Tuesday,June,Q2,2022,73,73.766663,71.699997,72.199997,67.68589,22631172
6/27/2022,Monday,June,Q2,2022,73.333336,73.900002,72.533333,73.033333,68.467133,17830735
6/24/2022,Friday,June,Q2,2022,71.73333,72.433334,71.533333,72.333336,67.81089,11807979
6/23/2022,Thursday,June,Q2,2022,70.666664,71.73333,70.099998,71.533333,67.060913,16579252
6/22/2022,Wednesday,June,Q2,2022,70.633331,71.066666,69.066666,70.366669,65.967186,18641673
6/21/2022,Tuesday,June,Q2,2022,69.366669,70.833336,69.033333,70.5,66.092186,14169558
6/20/2022,Monday,June,Q2,2022,70.066666,70.300003,67.699997,68.699997,64.404724,19163382
6/17/2022,Friday,June,Q2,2022,72,72,69.033333,69.466667,65.123451,23651413
6/16/2022,Thursday,June,Q2,2022,73.699997,73.800003,71.666664,72.099998,67.592148,14897512
6/15/2022,Wednesday,June,Q2,2022,74,74,72.199997,72.800003,68.248383,14386729
6/14/2022,Tuesday,June,Q2,2022,75.699997,76,73.366669,73.5,68.904617,23524399
6/13/2022,Monday,June,Q2,2022,77.533333,77.533333,75.366669,75.73333,70.998314,15123129
06-10-2022,Friday,June,Q2,2022,78.599998,78.666664,77.666664,78.166664,73.27951,16173466
06-09-2022,Thursday,June,Q2,2022,78.666664,80.466667,77.933334,78.866669,73.935745,32112393
06-08-2022,Wednesday,June,Q2,2022,79.099998,79.433334,78.433334,78.666664,73.748253,12953038
06-07-2022,Tuesday,June,Q2,2022,78.23333,79.666664,77.766663,78.800003,73.873253,14801011
06-06-2022,Monday,June,Q2,2022,78.866669,79.066666,77.633331,78.366669,73.46701,12162841
06-03-2022,Friday,June,Q2,2022,78.699997,79.333336,78.566666,78.866669,73.935745,13564659
06-02-2022,Thursday,June,Q2,2022,79.23333,79.5,77.333336,78.433334,73.529503,16274652
06-01-2022,Wednesday,June,Q2,2022,78,79.366669,77.833336,78.800003,73.873253,16686021
5/31/2022,Tuesday,May,Q2,2022,77.133331,78.333336,77,77.333336,72.498283,19925845
5/30/2022,Monday,May,Q2,2022,76.833336,77.5,76.033333,77.400002,72.560776,12222628
5/27/2022,Friday,May,Q2,2022,76.933334,77.033333,75.433334,76.099998,71.342056,11616970
5/26/2022,Thursday,May,Q2,2022,76.666664,77.199997,74.566666,76.133331,71.373306,23782918
5/25/2022,Wednesday,May,Q2,2022,79.533333,79.633331,76.133331,76.533333,71.748299,17317285
5/24/2022,Tuesday,May,Q2,2022,78.466667,79.73333,78.133331,79.133331,74.185738,18454173
5/23/2022,Monday,May,Q2,2022,78.400002,79.066666,77.800003,78.466667,73.56076,17487906
5/20/2022,Friday,May,Q2,2022,79.333336,79.466667,77.433334,77.966667,73.092018,24237945
5/19/2022,Thursday,May,Q2,2022,78,78.933334,77,78.166664,73.27951,21865050
5/18/2022,Wednesday,May,Q2,2022,82.666664,82.933334,78.5,78.699997,73.779495,64902469
5/17/2022,Tuesday,May,Q2,2022,84,84,81.066666,82.933334,77.748161,27391533
5/16/2022,Monday,May,Q2,2022,82.666664,82.666664,80.433334,81.400002,76.310692,12566889
5/13/2022,Friday,May,Q2,2022,83.333336,83.5,80.466667,80.866669,75.810699,22601469
05-12-2022,Thursday,May,Q2,2022,80.300003,82.666664,79.699997,81.400002,76.310692,30617643
05-11-2022,Wednesday,May,Q2,2022,82.266663,82.933334,79.23333,80.300003,75.279465,14615373
05-10-2022,Tuesday,May,Q2,2022,82.933334,84.199997,80.833336,81.333336,76.248192,15563373
05-09-2022,Monday,May,Q2,2022,83.766663,83.766663,80.900002,82.666664,77.498161,12361746
05-06-2022,Friday,May,Q2,2022,83.333336,85.166664,81.73333,84.166664,78.904373,13680673
05-05-2022,Thursday,May,Q2,2022,84.666664,85.433334,83.466667,83.800003,78.560638,8015140
05-04-2022,Wednesday,May,Q2,2022,84.566666,85.800003,83.400002,83.900002,78.654381,8118435
05-02-2022,Monday,May,Q2,2022,83.966667,84.866669,82.666664,84.433334,79.154381,8623737
4/29/2022,Friday,April,Q2,2022,87.599998,87.599998,83.73333,84,78.748138,13013304
4/28/2022,Thursday,April,Q2,2022,86.333336,86.833336,85.066666,86.633331,81.21682,15773589
4/27/2022,Wednesday,April,Q2,2022,85.066666,86,83.400002,84.900002,79.591858,14967738
4/26/2022,Tuesday,April,Q2,2022,86.266663,86.666664,85.166664,86.033333,80.654343,14133414
4/25/2022,Monday,April,Q2,2022,88.533333,88.633331,84.933334,85.166664,79.841858,16604310
4/22/2022,Friday,April,Q2,2022,89.933334,90.699997,89.23333,89.566666,83.966759,13678113
4/21/2022,Thursday,April,Q2,2022,89.633331,90.266663,88.933334,90.033333,84.404251,22154311
4/20/2022,Wednesday,April,Q2,2022,87.333336,89.533333,87.099998,88.933334,83.373024,28690066
4/19/2022,Tuesday,April,Q2,2022,86.199997,88.666664,85.666664,86.866669,81.43557,30183165
4/18/2022,Monday,April,Q2,2022,85.133331,85.666664,84.333336,85.400002,80.0606,17471850
4/13/2022,Wednesday,April,Q2,2022,84.033333,86,83.766663,85.266663,79.9356,17675811
04-12-2022,Tuesday,April,Q2,2022,85.633331,85.866669,83.466667,84.033333,78.779381,14583673
04-11-2022,Monday,April,Q2,2022,84.599998,86.300003,84.400002,85.900002,80.529335,19137451
04-08-2022,Friday,April,Q2,2022,83.266663,85,82.699997,84.633331,79.341866,21699732
04-07-2022,Thursday,April,Q2,2022,82.866669,84.5,82.166664,82.366669,77.216919,30238785
04-06-2022,Wednesday,April,Q2,2022,81.633331,84.266663,81,84.033333,78.779381,23580340
04-05-2022,Tuesday,April,Q2,2022,81.866669,82.333336,81.566666,81.766663,76.654427,13071195
04-04-2022,Monday,April,Q2,2022,81.400002,82,81.133331,81.533333,76.435692,14095200
04-01-2022,Friday,April,Q2,2022,79.400002,81.633331,79.333336,81.400002,76.310692,16052676
3/31/2022,Thursday,March,Q1,2022,78.666664,80.633331,78.666664,79.300003,74.341988,31701618
3/30/2022,Wednesday,March,Q1,2022,79.800003,79.800003,77.400002,78.133331,73.24826,159640347
3/29/2022,Tuesday,March,Q1,2022,80.199997,80.866669,78.666664,78.866669,73.935745,14627074
3/28/2022,Monday,March,Q1,2022,79.599998,80.466667,78.466667,79.966667,74.96698,15342876
3/25/2022,Friday,March,Q1,2022,80.033333,80.566666,79.066666,79.199997,74.248238,12238471
3/24/2022,Thursday,March,Q1,2022,81.199997,81.433334,80.23333,80.400002,75.373215,12377631
3/23/2022,Wednesday,March,Q1,2022,81.23333,82,80.433334,81.133331,76.060692,25271163
3/22/2022,Tuesday,March,Q1,2022,79.333336,81.23333,79,80.433334,75.404457,30929289
3/21/2022,Monday,March,Q1,2022,81.199997,81.199997,78.533333,78.666664,73.748253,18166521
3/17/2022,Thursday,March,Q1,2022,81.599998,81.933334,80.066666,80.900002,75.841949,41700111
3/16/2022,Wednesday,March,Q1,2022,80.199997,81.73333,79.633331,81.300003,76.216942,15176752
3/15/2022,Tuesday,March,Q1,2022,80.533333,80.699997,78.800003,79.333336,74.373238,16501842
3/14/2022,Monday,March,Q1,2022,83.23333,83.23333,80.033333,80.533333,75.498215,22317814
03-11-2022,Friday,March,Q1,2022,80.533333,82.933334,80.266663,82.466667,77.310669,18598243
03-10-2022,Thursday,March,Q1,2022,79.366669,80.933334,78.466667,80.633331,75.591957,27592384
03-09-2022,Wednesday,March,Q1,2022,79.266663,79.266663,77.199997,77.966667,73.092018,23476054
03-08-2022,Tuesday,March,Q1,2022,74.666664,78.5,74.400002,78.033333,73.154518,33483859
03-07-2022,Monday,March,Q1,2022,75.966667,75.966667,74.133331,74.833336,70.154587,25392553
03-04-2022,Friday,March,Q1,2022,76.633331,76.933334,75.199997,75.5,70.779572,25005861
03-03-2022,Thursday,March,Q1,2022,76.666664,77.666664,75.333336,76.433334,71.654549,28291584
03-02-2022,Wednesday,March,Q1,2022,75.833336,77.599998,74.300003,74.833336,70.154587,22390246
2/28/2022,Monday,February,Q1,2022,75.199997,77.466667,73.73333,76.666664,71.873291,24781798
2/25/2022,Friday,February,Q1,2022,75.333336,79,74,74.900002,70.217087,28048713
2/24/2022,Thursday,February,Q1,2022,76.633331,77.466667,72.866669,73.333336,68.748367,19848141
2/23/2022,Wednesday,February,Q1,2022,78.533333,78.866669,77.666664,78.099998,73.21701,8525215
2/22/2022,Tuesday,February,Q1,2022,78,79.099998,77.666664,78.066666,73.185768,11409610
2/21/2022,Monday,February,Q1,2022,80,80.766663,79.066666,79.466667,74.498238,8595442
2/18/2022,Friday,February,Q1,2022,80.933334,81.533333,80.400002,80.766663,75.716949,7978566
2/17/2022,Thursday,February,Q1,2022,81.900002,82.633331,80.333336,80.933334,75.873199,16774602
2/16/2022,Wednesday,February,Q1,2022,79.5,81.466667,79.5,81,75.935699,17673190
2/15/2022,Tuesday,February,Q1,2022,78,79.333336,76.333336,79.166664,74.216988,12978223
2/14/2022,Monday,February,Q1,2022,80.666664,80.666664,77.433334,77.699997,72.842018,16463770
02-11-2022,Friday,February,Q1,2022,79.666664,81.766663,79.366669,81.366669,76.279442,26486850
02-10-2022,Thursday,February,Q1,2022,80.73333,80.966667,79.766663,79.966667,74.96698,18120168
02-09-2022,Wednesday,February,Q1,2022,79,81.133331,78.5,80.699997,75.654449,17581473
02-08-2022,Tuesday,February,Q1,2022,82.066666,82.366669,80,80.900002,73.34201,23545662
02-07-2022,Monday,February,Q1,2022,83,83.066666,81.666664,81.933334,74.278816,13452373
02-04-2022,Friday,February,Q1,2022,83.266663,83.566666,82.466667,82.766663,75.034279,10723602
02-03-2022,Thursday,February,Q1,2022,83.599998,83.900002,82.766663,83.099998,75.336479,13117138
02-02-2022,Wednesday,February,Q1,2022,81.666664,83.300003,81.466667,82.966667,75.215607,14749194
02-01-2022,Tuesday,February,Q1,2022,84,84,79.666664,81.166664,73.583763,34627617
